wavelength,B_442,B_492,B_559,B_665,B_704,B_739,B_780,B_835,B_864,B_943,B_1375,B_1611,B_2184
580.0,,,0.0590168,,,,,,,,,,
581.0,,,0.0257244,,,,,,,,,,
582.0,,,0.00521916,,,,,,,,,,
583.0,,,,,,,,,,,,,
584.0,,,,,,,,,,,,,
585.0,,,,,,,,,,,,,
586.0,,,,,,,,,,,,,
587.0,,,,,,,,,,,,,
588.0,,,,,,,,,,,,,
589.0,,,,,,,,,,,,,
590.0,,,,,,,,,,,,,
591.0,,,,,,,,,,,,,
592.0,,,,,,,,,,,,,
593.0,,,,,,,,,,,,,
594.0,,,,,,,,,,,,,
595.0,,,,,,,,,,,,,
596.0,,,,,,,,,,,,,
597.0,,,,,,,,,,,,,
598.0,,,,,,,,,,,,,
599.0,,,,,,,,,,,,,
600.0,,,,,,,,,,,,,
601.0,,,,,,,,,,,,,
602.0,,,,,,,,,,,,,
603.0,,,,,,,,,,,,,
604.0,,,,,,,,,,,,,
605.0,,,,,,,,,,,,,
606.0,,,,,,,,,,,,,
607.0,,,,,,,,,,,,,
608.0,,,,,,,,,,,,,
609.0,,,,,,,,,,,,,
610.0,,,,,,,,,,,,,
611.0,,,,,,,,,,,,,
612.0,,,,,,,,,,,,,
613.0,,,,,,,,,,,,,
614.0,,,,,,,,,,,,,
615.0,,,,,,,,,,,,,
616.0,,,,,,,,,,,,,
617.0,,,,,,,,,,,,,
618.0,,,,,,,,,,,,,
619.0,,,,,,,,,,,,,
620.0,,,,,,,,,,,,,
621.0,,,,,,,,,,,,,
622.0,,,,,,,,,,,,,
623.0,,,,,,,,,,,,,
624.0,,,,,,,,,,,,,
625.0,,,,,,,,,,,,,
626.0,,,,,,,,,,,,,
627.0,,,,,,,,,,,,,
628.0,,,,,,,,,,,,,
629.0,,,,,,,,,,,,,
630.0,,,,,,,,,,,,,
631.0,,,,,,,,,,,,,
632.0,,,,,,,,,,,,,
633.0,,,,,,,,,,,,,
634.0,,,,,,,,,,,,,
635.0,,,,,,,,,,,,,
636.0,,,,,,,,,,,,,
637.0,,,,,,,,,,,,,
638.0,,,,,,,,,,,,,
639.0,,,,,,,,,,,,,
640.0,,,,,,,,,,,,,
641.0,,,,,,,,,,,,,
642.0,,,,,,,,,,,,,
643.0,,,,,,,,,,,,,
644.0,,,,,,,,,,,,,
645.0,,,,,,,,,,,,,
646.0,,,,0.00509031,,,,,,,,,
647.0,,,,0.026897,,,,,,,,,
648.0,,,,0.12088,,,,,,,,,
649.0,,,,0.337423,,,,,,,,,
650.0,,,,0.603625,,,,,,,,,
651.0,,,,0.810968,,,,,,,,,
652.0,,,,0.915738,,,,,,,,,
653.0,,,,0.926053,,,,,,,,,
654.0,,,,0.920832,,,,,,,,,
655.0,,,,0.911237,,,,,,,,,
656.0,,,,0.902006,,,,,,,,,
657.0,,,,0.897081,,,,,,,,,
658.0,,,,0.899066,,,,,,,,,
659.0,,,,0.900672,,,,,,,,,
660.0,,,,0.902488,,,,,,,,,
661.0,,,,0.906886,,,,,,,,,
662.0,,,,0.915611,,,,,,,,,
663.0,,,,0.927756,,,,,,,,,
664.0,,,,0.941056,,,,,,,,,
665.0,,,,0.954197,,,,,,,,,
666.0,,,,0.966908,,,,,,,,,
667.0,,,,0.98139,,,,,,,,,
668.0,,,,0.991619,,,,,,,,,
669.0,,,,1.0,,,,,,,,,
670.0,,,,0.999754,,,,,,,,,
671.0,,,,0.994047,,,,,,,,,
672.0,,,,0.981793,,,,,,,,,
673.0,,,,0.968693,,,,,,,,,
674.0,,,,0.957608,,,,,,,,,
675.0,,,,0.945645,,,,,,,,,
676.0,,,,0.92581,,,,,,,,,
677.0,,,,0.897153,,,,,,,,,
678.0,,,,0.838534,,,,,,,,,
679.0,,,,0.698447,,,,,,,,,
680.0,,,,0.493503,,,,,,,,,
681.0,,,,0.276901,,,,,,,,,
682.0,,,,0.107781,,,,,,,,,
683.0,,,,0.0299138,,,,,,,,,
684.0,,,,0.00733667,,,,,,,,,
685.0,,,,0.000838123,,,,,,,,,
686.0,,,,,,,,,,,,,
687.0,,,,,,,,,,,,,
688.0,,,,,,,,,,,,,
689.0,,,,,,,,,,,,,
690.0,,,,,,,,,,,,,
691.0,,,,,,,,,,,,,
692.0,,,,,,,,,,,,,
693.0,,,,,,,,,,,,,
694.0,,,,,0.0104718,,,,,,,,
695.0,,,,,0.0572525,,,,,,,,
696.0,,,,,0.214725,,,,,,,,
697.0,,,,,0.547189,,,,,,,,
698.0,,,,,0.871044,,,,,,,,
699.0,,,,,0.968447,,,,,,,,
700.0,,,,,0.991242,,,,,,,,
701.0,,,,,1.0,,,,,,,,
702.0,,,,,0.995093,,,,,,,,
703.0,,,,,0.987602,,,,,,,,
704.0,,,,,0.979409,,,,,,,,
705.0,,,,,0.970911,,,,,,,,
706.0,,,,,0.959528,,,,,,,,
707.0,,,,,0.942369,,,,,,,,
708.0,,,,,0.92672,,,,,,,,
709.0,,,,,0.894557,,,,,,,,
710.0,,,,,0.767248,,,,,,,,
711.0,,,,,0.504134,,,,,,,,
712.0,,,,,0.180611,,,,,,,,
713.0,,,,,0.0340197,,,,,,,,
714.0,,,,,0.00243694,,,,,,,,
715.0,,,,,,,,,,,,,
716.0,,,,,,,,,,,,,
717.0,,,,,,,,,,,,,
718.0,,,,,,,,,,,,,
719.0,,,,,,,,,,,,,
720.0,,,,,,,,,,,,,
721.0,,,,,,,,,,,,,
